# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
hen lei 	很累	c=1 d=1.6762e-18 t=20166
hen lei si 	很類似	c=1 d=1.18878e-05 t=20166
hen ming xian 	很明顯	c=2 d=1.19066e-22 t=20166
hen nan shou 	很難受	c=1 d=9.97556e-31 t=20166
hen pian yi ba 	很便宜吧	c=1 d=0.000267872 t=20166
hen re 	很熱	c=1 d=1.64301e-18 t=20166
hen rong yi 	很容易	c=2 d=4.58796e-11 t=20166
hen shao 	很少	c=3 d=0.000415927 t=20166
hen shi 	很是	c=0 d=2.05653e-13 t=20166
hen tie he 	很鐵和	c=1 d=0.000439444 t=20166
hen wen ding 	很穩定	c=1 d=3.97342e-25 t=20166
hen xiang 	很香	c=1 d=4.79995e-13 t=20166
hen you ming 	很有名	c=1 d=5.8565e-30 t=20166
hen zheng chang 	很正常	c=2 d=1.04386e-05 t=20166
hen zhong yao 	很重要	c=3 d=5.262e-06 t=20166
hh 	呵呵	c=0 d=3.54671e-13 t=20166
hh 	哈哈	c=0 d=2.13975e-09 t=20166
hh ang ha ha 	呵呵昂哈哈	c=1 d=3.56449e-12 t=20166
hh hh 	哈哈哈哈	c=0 d=1.84777e-26 t=20166
hh hh hh 	哈哈哈哈哈哈	c=2 d=2.61879e-25 t=20166
hh hh hh hh hh 	哈哈哈哈哈哈哈哈哈哈	c=1 d=1.84897e-25 t=20166
hong bin 	宏斌	c=1 d=0.0374406 t=20166
hong cha 	紅茶	c=2 d=0.129467 t=20166
hong se 	紅色	c=2 d=0.000156885 t=20166
hong yan bing 	紅眼病	c=3 d=0.690734 t=20166
hou 	厚	c=1 d=3.73364e-28 t=20166
hou 	後	c=13 d=1.20709 t=20166
hou duan 	後端	c=1 d=3.15047e-30 t=20166
hou hui le 	後悔了	c=1 d=0.034562 t=20166
hou lai 	後來	c=4 d=6.67361e-09 t=20166
hou mian 	後面	c=25 d=0.16268 t=20166
hou qi 	後期	c=1 d=3.52962e-14 t=20166
hou yi tian 	後一天	c=1 d=0.000106752 t=20166
hou yi zheng 	後遺症	c=1 d=8.64112e-18 t=20166
hu dong 	互動	c=2 d=1.57447e-29 t=20166
hu hu 	呼呼	c=0 d=1.03347e-06 t=20166
hu lian wang 	互聯網	c=1 d=6.56802e-26 t=20166
hu lve 	忽略	c=3 d=1.35404e-07 t=20166
hu xiang 	互相	c=1 d=5.60184e-07 t=20166
hua 	化	c=10 d=0.00992737 t=20166
hua 	畫	c=3 d=1.94469e-08 t=20166
hua 	花	c=1 d=0.0024972 t=20166
hua 	話	c=12 d=0.372016 t=20166
hua chu 	畫出	c=1 d=3.79006e-28 t=20166
hua chu lai 	畫出來	c=1 d=8.72351e-12 t=20166
hua deng hao 	畫等號	c=1 d=1.31086e-08 t=20166
hua fen fa 	劃分法	c=1 d=1.01508e-29 t=20166
hua feng 	畫風	c=1 d=6.35096e-13 t=20166
hua ge 	花個	c=1 d=3.53575e-05 t=20166
hua hua 	畫畫	c=0 d=0.0105928 t=20166
hua le 	花了	c=0 d=0.0878095 t=20166
hua li hu shao 	花里胡哨	c=1 d=2.60717e-09 t=20166
hua na er 	花哪兒	c=1 d=0.0250972 t=20166
hua shang 	畫上	c=0 d=2.22706e-09 t=20166
hua shang le 	畫上了	c=1 d=2.23822e-08 t=20166
hua ti 	話題	c=12 d=0.00802655 t=20166
hua tu 	畫圖	c=1 d=8.45246e-23 t=20166
hua wei 	華為	c=4 d=0.000263884 t=20166
hua xia 	話下	c=2 d=4.7354e-06 t=20166
hua yu quan 	話語權	c=1 d=6.16116e-09 t=20166
hua zai 	畫在	c=2 d=1.55984e-28 t=20166
huai le 	壞了	c=2 d=4.4241e-11 t=20166
huai yi 	懷疑	c=1 d=5.5758e-11 t=20166
huan 	換	c=4 d=1.4225e-09 t=20166
huan bi 	環比	c=3 d=0.000421315 t=20166
huan cheng 	換成	c=1 d=4.29324e-24 t=20166
huan chong 	緩衝	c=2 d=0.00171216 t=20166
huan gu 	環顧	c=1 d=7.16313e-17 t=20166
huan guo 	換過	c=1 d=2.09515e-25 t=20166
huan jian 	環鍵	c=1 d=3.86202e-14 t=20166
huan jie 	環節	c=4 d=2.39513e-11 t=20166
huan jing 	環境	c=22 d=0.0231825 t=20166
huan jing xia 	環境下	c=1 d=6.17816e-12 t=20166
huan ju hua 	換句話	c=1 d=3.12996e-12 t=20166
huan ju hua shuo 	換句話說	c=1 d=2.16381e-22 t=20166
huan kou wei 	換口味	c=0 d=1.10401e-18 t=20166
huan le song 	歡樂頌	c=1 d=3.57311e-11 t=20166
huan qi 	喚起	c=3 d=2.23838e-06 t=20166
huan qing 	還清	c=1 d=4.99754e-17 t=20166
huan yi 	換異	c=1 d=9.33188e-11 t=20166
huan yi ge 	換一個	c=2 d=7.53967e-13 t=20166
huang 	黃	c=1 d=4.49635e-09 t=20166
huang jin 	黃金	c=2 d=1.76725e-15 t=20166
huang jin zhi bao 	黃金之寶	c=1 d=3.23583e-21 t=20166
huang ping 	黃平	c=1 d=0.0122161 t=20166
huang shu lang 	黃鼠狼	c=1 d=6.91558e-15 t=20166
hui 	回	c=3 d=0.0204453 t=20166
hui 	會	c=51 d=0.521411 t=20166
hui bao 	彙報	c=23 d=0.401407 t=20166
hui bao cai liao 	彙報材料	c=1 d=2.04697e-16 t=20166
hui bao zhong 	彙報中	c=1 d=1.24777e-16 t=20166
hui bei 	會被	c=1 d=2.07184e-11 t=20166
hui bi 	回避	c=0 d=0.000217658 t=20166
hui bu hui 	會不會	c=1 d=0.0206508 t=20166
hui da 	回答	c=2 d=1.52642e-05 t=20166
hui du 	灰度	c=2 d=1.53667e-12 t=20166
hui dui 	會對	c=1 d=5.45314e-14 t=20166
hui dui ying 	會對應	c=1 d=1.70681e-25 t=20166
hui duo hun chua 	會奪魂欻	c=1 d=6.97179e-22 t=20166
hui er 	會兒	c=1 d=2.77934e-26 t=20166
hui fu 	恢復	c=6 d=0.000528747 t=20166
hui gu 	回顧	c=1 d=8.40601e-17 t=20166
hui gui 	回歸	c=38 d=0.00340567 t=20166
hui hen da 	會很大	c=1 d=3.7947e-13 t=20166
hui hua 	會話	c=1 d=2.55946e-27 t=20166
hui ji 	彙集	c=1 d=6.18237e-20 t=20166
hui jia 	回家	c=4 d=0.0219843 t=20166
hui jia chu ma 	回家出馬	c=1 d=2.43174e-13 t=20166
hui jia le 	回家樂	c=1 d=8.41603e-31 t=20166
hui lai 	回來	c=1 d=0.000750328 t=20166
hui le 	會了	c=1 d=0.0244775 t=20166
hui pian yi 	會便宜	c=1 d=1.90988e-24 t=20166
hui qu 	回去	c=9 d=7.8703e-07 t=20166
hui ren wei 	會認爲	c=1 d=1.17148e-09 t=20166
hui tou 	回头	c=1 d=0.0930145 t=20166
hui tu 	繪圖	c=10 d=0.29941 t=20166
hui wan 	會玩	c=1 d=0.0166557 t=20166
hui xi huan 	會喜歡	c=1 d=0.0214936 t=20166
hui yong dao 	會用到	c=2 d=9.4565e-20 t=20166
hui yong ta 	會用他	c=1 d=6.11565e-10 t=20166
hui you 	會有	c=3 d=8.92277e-13 t=20166
hui yuan 	會員	c=1 d=1 t=20166
hui zai 	會在	c=1 d=1.54334e-17 t=20166
hui zen me zuo 	會怎麼做	c=1 d=1.87175e-22 t=20166
hui zhi 	繪制	c=6 d=6.31929e-13 t=20166
hui zong 	彙總	c=3 d=3.75856e-15 t=20166
hun 	婚	c=1 d=1.32746e-09 t=20166
hun 	混	c=0 d=1.20195e-18 t=20166
hun he ti 	混合體	c=1 d=8.64553e-24 t=20166
hun xiao 	混淆	c=2 d=1.4962e-05 t=20166
huo 	或	c=13 d=0.00196108 t=20166
huo 	活	c=1 d=0.00230521 t=20166
huo bi 	貨幣	c=2 d=6.32816e-10 t=20166
huo bu liao 	活不了	c=0 d=8.84932e-05 t=20166
huo bu liao la 	活不了啦	c=1 d=0.000889368 t=20166
huo de 	獲得	c=2 d=1.22815e-06 t=20166
huo de le 	獲得了	c=1 d=3.61209e-21 t=20166
huo de xin xi 	獲得信息	c=1 d=4.79327e-26 t=20166
huo dong 	活動	c=0 d=3.97964e-15 t=20166
huo er 	伙兒	c=1 d=0.477114 t=20166
huo er 	活兒	c=3 d=1.80791e-11 t=20166
huo qu 	獲取	c=5 d=0.229985 t=20166
huo re 	火熱	c=1 d=4.42023e-14 t=20166
huo xi ni 	和稀泥	c=1 d=1.01843e-09 t=20166
huo zai 	火災	c=1 d=2.19614e-20 t=20166
huo zhe 	或者	c=36 d=0.21106 t=20166
huo zhe shi 	或者是	c=1 d=6.52748e-12 t=20166
huo zhe shuo 	或者說	c=2 d=8.1086e-05 t=20166
ji 	即	c=4 d=1.00001e-19 t=20166
ji 	及	c=1 d=8.64406e-22 t=20166
ji 	既	c=2 d=9.61767e-12 t=20166
ji 	機	c=5 d=0.025756 t=20166
ji 	記	c=3 d=1.17695e-05 t=20166
ji 	集	c=4 d=4.8099e-22 t=20166
ji 	雞	c=1 d=0.261846 t=20166
ji ba 	雞巴	c=1 d=0.00107952 t=20166
ji ben 	基本	c=6 d=0.0776922 t=20166
ji ben shang 	基本上	c=3 d=1.7564e-09 t=20166
ji bi ji 	記筆記	c=3 d=5.13138e-18 t=20166
ji bi ji de 	記筆記的	c=1 d=1.31537e-19 t=20166
ji bie 	級別	c=1 d=9.52363e-15 t=20166
ji bu de 	記不得	c=0 d=4.13853e-05 t=20166
ji bu de a 	記不得啊	c=1 d=0.000415927 t=20166
ji bu zhu 	記不住	c=1 d=1.19121e-29 t=20166
ji che 	機車	c=2 d=0.00234179 t=20166
ji cheng 	集成	c=10 d=0.142274 t=20166
ji chu 	基礎	c=10 d=0.369723 t=20166
ji ci 	幾次	c=1 d=0.00353515 t=20166
ji cuo 	記錯	c=0 d=2.11261e-06 t=20166
ji de 	級的	c=1 d=2.75411e-07 t=20166
ji de 	記得	c=3 d=0.000754368 t=20166
ji dian 	幾點	c=2 d=2.93698e-18 t=20166
ji dian dao de 	幾點到的	c=1 d=1.93776e-18 t=20166
ji du 	季度	c=1 d=4.6524e-28 t=20166
ji er 	吉爾	c=2 d=3.25936e-18 t=20166
ji fang 	機房	c=9 d=3.69849e-05 t=20166
ji ge 	幾個	c=8 d=0.00377257 t=20166
ji ge ren 	幾個人	c=3 d=0.0185924 t=20166
ji ge wen ti 	幾個問題	c=1 d=2.65478e-16 t=20166
ji ge yue 	幾個月	c=1 d=5.04348e-07 t=20166
ji guang 	激光	c=1 d=0.00107547 t=20166
ji hao 	幾號	c=0 d=4.11789e-05 t=20166
ji hao 	極好	c=0 d=2.41172e-05 t=20166
ji hao 	記號	c=0 d=0.025924 t=20166
ji hao chi ma 	記號尺碼	c=1 d=0.26054 t=20166
ji hu 	幾乎	c=6 d=0.282251 t=20166
ji hua 	計劃	c=8 d=0.00215507 t=20166
ji huo ma 	激活碼	c=1 d=3.43359e-13 t=20166
ji ji 	積極	c=1 d=7.32799e-20 t=20166
ji jie xing 	季節性	c=1 d=5.83741e-21 t=20166
ji jin 	激進	c=1 d=1.39552e-09 t=20166
ji kuai 	幾塊	c=0 d=2.54323e-12 t=20166
ji lei 	幾類	c=2 d=6.35297e-13 t=20166
ji lei 	積累	c=1 d=3.98926e-13 t=20166
ji li 	吉利	c=1 d=1.08495e-18 t=20166
ji lou 	幾樓	c=1 d=1.85249e-18 t=20166
ji lu 	記錄	c=8 d=0.0921 t=20166
ji lu bu 	記錄簿	c=1 d=1.81174e-21 t=20166
ji lu de 	記錄的	c=1 d=0.000111109 t=20166
ji lu zai 	記錄在	c=1 d=0.000107825 t=20166
ji nian 	幾年	c=2 d=3.38557e-16 t=20166
ji qi 	機器	c=8 d=8.42224e-06 t=20166
ji qi xue xi 	機器學習	c=2 d=3.35056e-29 t=20166
ji qing 	激情	c=1 d=3.15981e-06 t=20166
ji qun 	集羣	c=4 d=0.128996 t=20166
ji ran 	既然	c=1 d=1.05525e-15 t=20166
ji ren 	幾人	c=1 d=0.00422141 t=20166
ji shi 	即使	c=2 d=5.17746e-10 t=20166
ji shi 	及時	c=3 d=2.01974e-12 t=20166
ji shi ben 	記事本	c=1 d=6.98627e-17 t=20166
ji shi xing 	及時性	c=1 d=1.75157e-06 t=20166
ji shu 	技術	c=13 d=0.00318724 t=20166
ji shu shang 	技術上	c=1 d=3.64591e-13 t=20166
ji shu wen ti 	計數問題	c=1 d=3.70038e-11 t=20166
ji shu zhan 	技術站	c=1 d=3.4371e-25 t=20166
ji suan 	計算	c=19 d=0.00810486 t=20166
ji suan chu 	計算出	c=1 d=1.93941e-28 t=20166
ji suan ji 	計算機	c=4 d=8.65464e-07 t=20166
ji wei 	即爲	c=1 d=1.40567e-06 t=20166
ji wei 	幾位	c=1 d=2.83355e-18 t=20166
ji xian 	極限	c=1 d=6.695e-16 t=20166
ji xiao 	績效	c=1 d=0.00155699 t=20166
ji xing 	畸形	c=1 d=4.35961e-28 t=20166
ji xiong rou 	雞胸肉	c=1 d=4.89525e-09 t=20166
ji xu 	繼續	c=6 d=0.00282404 t=20166
ji you 	既有	c=3 d=2.26098e-14 t=20166
ji yue 	幾月	c=0 d=4.11789e-05 t=20166
ji yue ji hao 	幾月幾號	c=1 d=0.000413853 t=20166
ji zhe 	記着	c=1 d=1.80209e-17 t=20166
ji zhi 	機制	c=3 d=1.69657e-13 t=20166
ji zhong 	幾種	c=1 d=1.68375e-12 t=20166
ji zhu 	記住	c=4 d=1.54279e-09 t=20166
ji zhun 	基準	c=2 d=0.000227127 t=20166
ji zu 	幾組	c=1 d=0.00193045 t=20166
jia 	假	c=3 d=0.000207614 t=20166
jia 	價	c=2 d=8.0918e-10 t=20166
jia 	加	c=5 d=0.0555762 t=20166
jia 	夾	c=3 d=0.0439369 t=20166
jia 	家	c=4 d=0.0202419 t=20166
jia ban 	加班	c=11 d=0.0205754 t=20166
jia ban fei 	加班費	c=1 d=1.79774e-18 t=20166
jia dian 	家電	c=1 d=1.02741e-24 t=20166
jia ge 	價格	c=3 d=0.0109507 t=20166
jia ge gao 	價格高	c=1 d=0.000717312 t=20166
jia gong 	加工	c=3 d=0.000231611 t=20166
jia gong chang 	加工廠	c=1 d=0.000534061 t=20166
jia gong hou 	加工後	c=1 d=2.06045e-05 t=20166
jia gou 	架构	c=6 d=1.5898e-13 t=20166
jia ju 	傢俱	c=1 d=9.06302e-25 t=20166
jia le 	家樂	c=0 d=6.19205e-10 t=20166
jia le mei 	加了沒	c=1 d=2.3481e-13 t=20166
jia li 	家裏	c=2 d=1.38879e-11 t=20166
jia mi 	加密	c=1 d=2.49067e-30 t=20166
jia qiang 	加強	c=1 d=0.412714 t=20166
jia ru 	假如	c=2 d=1.99973e-21 t=20166
jia ru 	加入	c=2 d=6.02707e-21 t=20166
jia ru le 	加入了	c=1 d=4.28143e-21 t=20166
jia shang 	加上	c=1 d=4.00653e-05 t=20166
jia she 	假設	c=3 d=6.1009e-11 t=20166
jia she xing 	假設性	c=1 d=9.13746e-28 t=20166
jia ting 	家庭	c=4 d=8.74125e-07 t=20166
jia wei 	價位	c=2 d=4.14861e-22 t=20166
jia zai 	加載	c=3 d=3.674e-12 t=20166
jia zhi 	價值	c=1 d=5.83046e-07 t=20166
jian 	剪	c=4 d=0.801735 t=20166
jian 	見	c=1 d=0.044601 t=20166
jian 	間	c=2 d=2.99794e-05 t=20166
jian ce 	檢測	c=1 d=1.54465e-27 t=20166
jian ce 	監測	c=1 d=8.02792e-05 t=20166
jian cha 	檢查	c=1 d=2.78028e-30 t=20166
jian dan 	簡單	c=12 d=2.93675e-05 t=20166
jian dan de 	簡單地	c=2 d=4.03772e-08 t=20166
jian dan dian 	簡單點	c=1 d=1.39021e-23 t=20166
jian de guan xi 	間的關係	c=2 d=1.52036e-20 t=20166
jian dian 	檢點	c=1 d=2.23206e-05 t=20166
jian ding 	堅定	c=1 d=6.15573e-28 t=20166
jian du 	監督	c=0 d=1.18571e-05 t=20166
jian ge 	剪個	c=0 d=9.56648e-10 t=20166
jian ge 	建個	c=1 d=0.0002139 t=20166
jian ge 	間隔	c=5 d=0.00271219 t=20166
jian ge tou 	剪個頭	c=1 d=9.61444e-09 t=20166
jian gu 	兼顧	c=1 d=0.00222055 t=20166
jian guan 	監管	c=1 d=0.00138093 t=20166
jian guo 	建國	c=1 d=1.73981e-15 t=20166
jian jie 	簡潔	c=1 d=1.32723e-07 t=20166
jian jie 	見解	c=1 d=3.51561e-26 t=20166
jian jie 	間接	c=3 d=1.31403e-07 t=20166
jian kang 	健康	c=10 d=0.000508269 t=20166
jian kong 	監控	c=50 d=0.182191 t=20166
jian kong shang 	監控上	c=1 d=6.24132e-14 t=20166
jian kong zhong 	監控中	c=1 d=8.00856e-06 t=20166
jian li 	建立	c=3 d=5.91958e-09 t=20166
jian li wen jian jia 	建立文件架	c=1 d=1.32814e-15 t=20166
jian li yi ge 	建立一個	c=2 d=0.0518189 t=20166
jian lou 	簡陋	c=1 d=4.73992e-12 t=20166
jian mian 	見面	c=1 d=1.88311e-05 t=20166
jian mo 	建模	c=3 d=0.000194515 t=20166
jian pan 	鍵盤	c=1 d=7.31654e-31 t=20166
jian qing 	減輕	c=1 d=1.85729e-19 t=20166
jian qu 	減去	c=0 d=3.4843e-10 t=20166
jian qu 	见取	c=0 d=3.46692e-10 t=20166
jian qu le 	減去了	c=1 d=3.50176e-09 t=20166
jian qu le 	见取了	c=1 d=3.4843e-09 t=20166
jian rui 	尖銳	c=1 d=1.08141e-09 t=20166
jian shao 	減少	c=2 d=6.52547e-30 t=20166
jian she 	建設	c=10 d=4.09297e-07 t=20166
jian shi qi 	監視器	c=1 d=1.21593e-06 t=20166
jian suo 	檢索	c=2 d=2.16868e-19 t=20166
jian suo neng li 	檢索能力	c=1 d=6.00476e-30 t=20166
jian ting 	監聽	c=2 d=5.73078e-10 t=20166
jian tou 	箭頭	c=0 d=7.28276e-07 t=20166
jian wan tou 	剪完頭	c=1 d=2.31794e-08 t=20166
jian yi 	建議	c=5 d=3.45738e-06 t=20166
jian yi de 	建議的	c=1 d=1.49747e-15 t=20166
jian zhi 	簡直	c=1 d=0.0138427 t=20166
jiang 	將	c=8 d=0.0599047 t=20166
jiang 	講	c=4 d=0.959786 t=20166
jiang chu lai 	講出來	c=1 d=1.8287e-13 t=20166
jiang de 	講的	c=1 d=6.80197e-26 t=20166
jiang de 	降得	c=0 d=2.58299e-18 t=20166
jiang de xia lai ma 	降得下來嗎	c=1 d=2.59593e-17 t=20166
jiang hua 	講話	c=1 d=9.06842e-27 t=20166
jiang hui lai 	降回來	c=1 d=2.10351e-13 t=20166
jiang jin 	獎金	c=1 d=4.67572e-28 t=20166
jiang jiu 	講究	c=1 d=1.57725e-08 t=20166
jiang yao 	將要	c=1 d=0.0385808 t=20166
jiang yi ge 	講一個	c=1 d=0.865022 t=20166
jiang zhu 	僵住	c=0 d=0.000744658 t=20166
jiang zhu le 	僵住了	c=1 d=0.00748391 t=20166
jiang zi 	醬紫	c=1 d=2.0901e-26 t=20166
jiao 	叫	c=6 d=0.00461906 t=20166
jiao 	教	c=3 d=0.000103115 t=20166
jiao 	覺	c=1 d=2.53184e-17 t=20166
jiao 	角	c=0 d=0.0782705 t=20166
jiao ban ji 	攪拌機	c=1 d=4.84654e-09 t=20166
jiao ben 	腳本	c=6 d=0.00420444 t=20166
jiao cai 	教材	c=1 d=4.94093e-30 t=20166
jiao cheng 	教程	c=3 d=2.60088e-10 t=20166
jiao du 	角度	c=3 d=1.49309e-10 t=20166
jiao ge 	叫個	c=0 d=0.00437178 t=20166
jiao huan 	交換	c=1 d=1.38903e-13 t=20166
jiao lai 	叫來	c=0 d=6.2123e-19 t=20166
jiao lai an mo 	叫來按摩	c=1 d=6.24344e-18 t=20166
jiao liu 	交流	c=1 d=6.56578e-22 t=20166
jiao liu bu cuo 	叫劉不錯	c=1 d=6.53304e-22 t=20166
jiao luo 	角落	c=1 d=3.16852e-09 t=20166
jiao shou 	教授	c=1 d=4.58001e-20 t=20166
jiao wo 	叫我	c=1 d=5.60757e-19 t=20166
jiao xue 	教學	c=1 d=1.50836e-12 t=20166
jiao yi 	交易	c=22 d=0.00397158 t=20166
jiao yi ce lue 	交易策略	c=1 d=4.11929e-08 t=20166
jiao yi liang 	交易量	c=5 d=0.000231776 t=20166
jiao zhi tou 	腳趾頭	c=1 d=4.3327e-14 t=20166
jiao zhu 	教主	c=1 d=5.94501e-30 t=20166
jiao zong 	教宗	c=1 d=1.84582e-05 t=20166
jiao zuo 	叫做	c=5 d=0.292339 t=20166
jie 	接	c=1 d=1.09265e-13 t=20166
jie 	界	c=1 d=5.79823e-30 t=20166
jie chu 	接觸	c=4 d=3.86873e-05 t=20166
jie chu bu liang 	接觸不良	c=1 d=4.73992e-12 t=20166
jie dian 	節點	c=1 d=1.64189e-10 t=20166
jie du 	解讀	c=4 d=1.45114e-07 t=20166
jie duan 	階段	c=9 d=0.00261965 t=20166
jie duan xing 	階段性	c=6 d=7.0377e-15 t=20166
jie feng 	解封	c=0 d=8.58604e-32 t=20166
jie feng le 	解封了	c=1 d=8.62908e-31 t=20166
jie gou 	結構	c=6 d=0.786628 t=20166
jie gou zhong 	結構中	c=0 d=3.02488e-23 t=20166
jie guo 	結果	c=11 d=0.280832 t=20166
jie he 	接合	c=1 d=1.20297e-27 t=20166
jie he 	結合	c=11 d=0.00211249 t=20166
jie he qi lai 	結合起來	c=1 d=2.79669e-11 t=20166
jie huan 	借換	c=1 d=2.52969e-07 t=20166
jie hun 	結婚	c=2 d=4.4164e-07 t=20166
jie jian 	借鑑	c=1 d=1.69334e-20 t=20166
jie jie 	姐姐	c=1 d=0.00139481 t=20166
jie jie gao 	節節高	c=0 d=0.000139481 t=20166
jie jie gao sheng 	節節高昇	c=1 d=0.0014018 t=20166
jie jin 	接近	c=2 d=1.03339e-22 t=20166
jie ju 	截距	c=11 d=1.47778e-06 t=20166
jie jue 	解決	c=9 d=0.0115625 t=20166
jie jue wen ti 	解決問題	c=1 d=1.41098e-21 t=20166
jie kou 	接口	c=1 d=2.17281e-12 t=20166
jie mian 	界面	c=3 d=3.17887e-10 t=20166
jie ou 	解耦	c=1 d=2.03919e-30 t=20166
jie qing 	結清	c=1 d=2.34283e-16 t=20166
jie ru 	接入	c=1 d=1.76917e-06 t=20166
jie shao 	介紹	c=3 d=0.491644 t=20166
jie sheng 	節省	c=1 d=1.88536e-19 t=20166
jie shi 	解釋	c=3 d=0.289607 t=20166
jie shou 	接受	c=4 d=0.254107 t=20166
jie shu 	結束	c=1 d=2.91033e-09 t=20166
jie shu le 	結束了	c=1 d=4.70331e-09 t=20166
jie ti 	解題	c=1 d=5.45592e-20 t=20166
jie ti 	階梯	c=2 d=0.00850722 t=20166
jie xi 	解析	c=0 d=4.32667e-28 t=20166
jie xi dao 	解析到	c=1 d=4.34835e-27 t=20166
jie xia lai 	接下來	c=3 d=1.99208e-28 t=20166
jie yi 	介意	c=2 d=0.00995182 t=20166
jie zhe 	藉着	c=1 d=0.442639 t=20166
jie zhi 	介質	c=1 d=2.93199e-08 t=20166
jie zhong er zhi 	接踵而至	c=1 d=0.398519 t=20166
jin 	近	c=0 d=1.41488e-25 t=20166
jin 	進	c=2 d=2.5006e-06 t=20166
jin cheng 	進程	c=5 d=6.98031e-11 t=20166
jin die 	金蝶	c=13 d=0.0266518 t=20166
jin die jin 	金蝶近	c=1 d=1.42197e-24 t=20166
jin du 	進度	c=6 d=0.0528657 t=20166
jin du de shi hou 	進度的時候	c=1 d=1.88504e-17 t=20166
jin er 	勁兒	c=1 d=4.00721e-07 t=20166
jin hua 	進化	c=2 d=6.8764e-07 t=20166
jin ji 	緊急	c=3 d=4.33049e-08 t=20166
jin jiu 	金酒	c=0 d=1.11453e-12 t=20166
jin jiu yin shi 	金酒銀實	c=1 d=1.12012e-11 t=20166
jin ke neng 	儘可能	c=4 d=3.8408e-08 t=20166
jin lai 	進來	c=4 d=1.34034e-06 t=20166
jin liang 	儘量	c=1 d=2.74084e-09 t=20166
jin neng 	僅能	c=1 d=2.88834e-08 t=20166
jin nian 	今年	c=1 d=8.80668e-06 t=20166
jin qu 	進去	c=2 d=1.94515e-05 t=20166
jin ri 	今日	c=2 d=0.000140543 t=20166
jin rong 	金融	c=1 d=2.14301e-26 t=20166
jin shan 	金山	c=3 d=1.17704e-13 t=20166
jin shang tian hua 	锦上添花	c=1 d=4.98379e-14 t=20166
jin tian 	今天	c=30 d=0.270704 t=20166
jin tian jia ban 	今天加班	c=1 d=0.000742862 t=20166
jin wan 	今晚	c=4 d=0.339854 t=20166
jin xiang 	進向	c=7 d=8.1773e-16 t=20166
jin xing 	進行	c=35 d=0.681162 t=20166
jin xu 	僅需	c=2 d=3.28771e-11 t=20166
jin xuan 	錦旋	c=1 d=9.98097e-08 t=20166
jin yong 	禁用	c=1 d=0.135335 t=20166
jin zhang 	緊張	c=1 d=0.178173 t=20166
jin zhi 	禁止	c=1 d=0.15259 t=20166
jing 	經	c=0 d=8.66201e-18 t=20166
jing bao 	警報	c=1 d=2.27754e-07 t=20166
jing bao qi 	警報器	c=1 d=2.11261e-05 t=20166
jing cha 	警察	c=1 d=1.0083e-09 t=20166
jing chang 	經常	c=3 d=0.123722 t=20166
jing de qi 	經得起	c=1 d=1.76274e-22 t=20166
jing dian 	經典	c=1 d=6.32682e-27 t=20166
jing dong 	京東	c=1 d=5.20964e-06 t=20166
jing du 	精度	c=3 d=5.0862e-13 t=20166
jing guo 	經過	c=1 d=3.26047e-22 t=20166
jing ji 	經濟	c=5 d=2.14172e-05 t=20166
jing ke neng 	經可能	c=2 d=7.21405e-12 t=20166
jing kuang 	境況	c=1 d=3.44013e-06 t=20166
jing li 	經歷	c=0 d=8.39287e-29 t=20166
jing li 	經理	c=1 d=3.98303e-24 t=20166
jing li de 	經歷的	c=1 d=8.43494e-28 t=20166
jing que 	精確	c=3 d=0.00359504 t=20166
jing xi 	驚喜	c=1 d=1.22644e-19 t=20166
jing xiang 	鏡像	c=4 d=0.0332566 t=20166
jing yan 	經驗	c=2 d=1.09191e-05 t=20166
jing ying 	精英	c=2 d=6.46579e-10 t=20166
jing yu 	鯨魚	c=5 d=1.83524e-25 t=20166
jing yu zhe xue 	鯨魚哲學	c=3 d=1.0703e-25 t=20166
jiu 	久	c=1 d=2.82335e-05 t=20166
jiu 	就	c=91 d=0.488395 t=20166
jiu 	舊	c=2 d=0.00100171 t=20166
jiu bian cheng 	就變成	c=1 d=2.56923e-13 t=20166
jiu bu ke neng 	就不可能	c=1 d=1.87889e-08 t=20166
jiu bu neng 	就不能	c=1 d=1.36789e-09 t=20166
jiu bu shi 	就不是	c=2 d=1.98101e-13 t=20166
jiu bu yi 	就不一	c=1 d=2.2568e-17 t=20166
jiu bu zhi dao 	就不知道	c=1 d=1.44498e-07 t=20166
jiu cheng 	就成	c=1 d=0.913931 t=20166
jiu de le 	就得了	c=1 d=0.000867409 t=20166
jiu dei 	就得	c=2 d=1.34103e-11 t=20166
jiu fei chang 	就非常	c=1 d=2.86749e-11 t=20166
jiu guo qu 	就過去	c=0 d=0.00658748 t=20166
jiu guo qu le 	就過去了	c=1 d=0.066205 t=20166
jiu hao 	就好	c=1 d=9.49498e-25 t=20166
jiu hao duo le 	就好多了	c=1 d=4.04322e-24 t=20166
jiu hao hao 	就好好	c=1 d=3.15487e-17 t=20166
jiu hao le 	就好了	c=1 d=5.34334e-10 t=20166
jiu hao xiang 	就好像	c=1 d=2.96963e-11 t=20166
jiu he 	就和	c=0 d=1.5016e-19 t=20166
jiu hui 	就會	c=3 d=0.00459263 t=20166
jiu jing 	究竟	c=4 d=1.39504e-05 t=20166
